course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
online	AMSC	AMSC660	TuTh 11:00am 12:15pm	20	0	Scientific Computing I	Tobias von Petersdorff	
online	AMSC	AMSC663	TuTh 12:30pm 1:45pm	20	12	Advanced Scientific Computing I	Maria Cameron	
online	AMSC	AMSC666	TuTh 2:00pm 3:15pm	27	8	Numerical Analysis I	Eitan Tadmor	
online	AMSC	AMSC670	TuTh 12:30pm 1:45pm	18	6	Ordinary Differential Equations I	Vadim Kaloshin	
online	AMSC	AMSC673	TuTh 9:30am 10:45am	20	5	Partial Differential Equations I	Dionisios Margetis	
online	AMSC	AMSC714	TuTh 5:00pm 6:15pm	20	14	Numerical Methods For Stationary PDEs	Ricardo Nochetto	
online	AMSC	AMSC808N	TuTh 9:30am 10:45am	30	0	Advanced Topics in Applied Mathematics; Numerical Methods for Data Science and Machine Learning	Maria Cameron	
online	AMST	AMST101	MW 11:00am 11:50am	25	0	Introduction American Studies	Timothy Kumfer	F 10:00am 10:50am
online	AMST	AMST101	MW 11:00am 11:50am	25	0	Introduction American Studies	Kelsey Michael	F 11:00am 11:50am
online	AMST	AMST101	MW 11:00am 11:50am	25	0	Introduction American Studies	Jacqueline Partida	F 11:00am 11:50am
online	AMST	AMST101	MW 11:00am 11:50am	25	0	Introduction American Studies	Shoji Sanders	F 12:00pm 12:50pm
online	AMST	AMST101	F 10:00am 11:15am	21	0	Introduction American Studies	Dallas Donnell	
online	AMST	AMST202	MWF 10:00am 10:50am	25	2	Cultures of Everyday Life in America	Nancy Mirabal	
online	AMST	AMST203	MWF 11:00am 11:50am	25	0	Popular Culture in America	Zachary Johnson	
online	AMST	AMST203	F 1:00pm 2:15pm	20	0	Popular Culture in America	Mark Lockwood	
online	AMST	AMST203	F 11:30am 12:45pm	20	0	Popular Culture in America	Mark Lockwood	
online	AMST	AMST204	TuTh 9:30am 10:45am	35	1	Film and American Culture Studies	Susan Pramschufer	
online	AMST	AMST205	F 11:30am 12:45pm	20	7	Material Aspects of American Life	Wanda Hern�ndez	
online	AMST	AMST205	F 9:30am 10:45am	20	4	Material Aspects of American Life	Wanda Hern�ndez	
online	AMST	AMST262	MW 2:00pm 2:50pm	15	0	Houses, Schools, and Prisons in American Life	Perla Guerrero	F 10:00am 10:50am
online	AMST	AMST262	MW 2:00pm 2:50pm	15	0	Houses, Schools, and Prisons in American Life	Perla Guerrero	F 11:00am 11:50am
online	AMST	AMST262	MW 2:00pm 2:50pm	15	0	Houses, Schools, and Prisons in American Life	Perla Guerrero	F 1:00pm 1:50pm
online	AMST	AMST262	MW 2:00pm 2:50pm	15	1	Houses, Schools, and Prisons in American Life	Perla Guerrero	F 12:00pm 12:50pm
online	AMST	AMST298C	TuTh 3:30pm 4:45pm	40	0	Introduction to Asian American Studies	Terry Park	
online	AMST	AMST298Q	MW 5:00pm 6:15pm	30	0	U.S. Latinx Literature and Culture	Kristofer Reed	
online	AMST	AMST324	TuTh 11:00am 12:15pm	30	0	Growing Up Asian American: The Asian Immigrant Family and the Second Generation	Yeram Cheong	
online	AMST	AMST328K	TuTh 11:00am 12:15pm	15	2	Perspectives on Identity and Culture; Gender, Labor and Racial Identities in Diaspora Communities	Sharon Harley	
online	AMST	AMST328L	MW 2:00pm 3:15pm	25	0	Perspectives on Identity and Culture; Introduction to Comparative Ethnic Studies	Bayley Marquez	
online	AMST	AMST328R	TuTh 12:30pm 1:45pm	25	0	Religion in American Culture	Asim Ali	
online	AMST	AMST328U	MW 2:00pm 3:15pm	27	0	Perspectives on Identity and Culture; African American Literature	Julius Fleming	
online	AMST	AMST328W	W 5:00pm 7:30pm	30	0	Asian Americans in Film	Terry Park	
online	AMST	AMST328X	TuTh 11:00am 12:15pm	20	0	(Dis)ability in American Film	Susan Pramschufer	
online	AMST	AMST340	TuTh 9:30am 10:45am	15	12	Introduction to History, Theories and Methods in American Studies	Robert Chester	
online	AMST	AMST340	MW 11:00am 12:15pm	15	9	Introduction to History, Theories and Methods in American Studies	Bayley Marquez	
online	AMST	AMST428N	TuTh 3:30pm 4:45pm	30	13	American Cultural Eras; Living with Pachamama: Religion and Ritual in the Andes from the Incas to the Present	James Maffie	
online	AMST	AMST450	TuTh 11:00am 12:15pm	20	12	Seminar in American Studies	Christina Hanhardt	
online	AMST	AMST498G	TuTh 2:00pm 3:15pm	30	2	Special Topics in American Studies; Latinos/as on the Silver Screen	Robert Chester	
online	AMST	AMST601	M 4:00pm 6:40pm	15	9	Introductory Theories and History in American Studies	Nancy Mirabal	
online	AMST	AMST628F	Tu 4:00pm 6:40pm	15	6	Seminar in American Studies; Deviance and Dominance in the Study of the City	Christina Hanhardt	
online	AMST	AMST655	Th 2:00pm 4:45pm	20	1	Introduction to Museum Scholarship	Diana Marsh	
blended	AMST	AMST328J	Tu 5:00pm 7:30pm	35	10	Filipino American History and Biography	Gemirald Daus	
in person	ANSC	ANSC103	Tu 2:00pm 3:50pm	20	0	Principles of Animal Science Laboratory	Megan McLean	
in person	ANSC	ANSC103	F 10:00am 11:50am	20	8	Principles of Animal Science Laboratory	Megan McLean	
in person	ANSC	ANSC103	Th 2:00pm 3:50pm	20	0	Principles of Animal Science Laboratory	Megan McLean	
in person	ANSC	ANSC103	W 3:00pm 4:50pm	20	0	Principles of Animal Science Laboratory	Megan McLean	
in person	ANSC	ANSC103	W 10:00am 11:50am	20	0	Principles of Animal Science Laboratory	Megan McLean	
in person	ANSC	ANSC232	MW 10:00am 10:50am	20	3	Horse Management	Amy Burk	Th 9:00am 10:50am
